observation_id,photo_id,position,license_code,attribution,url,original_url,width,height,retrieved_at
40298022,64014951,0,cc-by-nc,"(c) docprt, some rights reserved (CC BY-NC)",https://inaturalist-open-data.s3.amazonaws.com/photos/64014951/square.jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/64014951/original.jpeg,2048,1476,2026-09-13T02:26:12.474594+00:00
40298022,64014953,1,cc-by-nc,"(c) docprt, some rights reserved (CC BY-NC)",https://inaturalist-open-data.s3.amazonaws.com/photos/64014953/square.jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/64014953/original.jpeg,2048,1214,2026-09-13T02:26:12.474594+00:00
40298022,64014958,2,cc-by-nc,"(c) docprt, some rights reserved (CC BY-NC)",https://inaturalist-open-data.s3.amazonaws.com/photos/64014958/square.jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/64014958/original.jpeg,2048,1180,2026-09-13T02:26:12.474594+00:00
40298022,64014962,3,cc-by-nc,"(c) docprt, some rights reserved (CC BY-NC)",https://inaturalist-open-data.s3.amazonaws.com/photos/64014962/square.jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/64014962/original.jpeg,2048,1488,2026-09-13T02:26:12.474594+00:00
40298022,64014969,4,cc-by-nc,"(c) docprt, some rights reserved (CC BY-NC)",https://inaturalist-open-data.s3.amazonaws.com/photos/64014969/square.jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/64014969/original.jpeg,2006,1445,2026-09-13T02:26:12.474594+00:00
40298024,64014974,0,cc-by-nc,"(c) docprt, some rights reserved (CC BY-NC)",https://inaturalist-open-data.s3.amazonaws.com/photos/64014974/square.jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/64014974/original.jpeg,2005,1513,2026-09-13T02:26:12.474594+00:00
40298024,64014979,1,cc-by-nc,"(c) docprt, some rights reserved (CC BY-NC)",https://inaturalist-open-data.s3.amazonaws.com/photos/64014979/square.jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/64014979/original.jpeg,2048,1262,2026-09-13T02:26:12.474594+00:00
40298024,64014985,2,cc-by-nc,"(c) docprt, some rights reserved (CC BY-NC)",https://inaturalist-open-data.s3.amazonaws.com/photos/64014985/square.jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/64014985/original.jpeg,2048,1236,2026-09-13T02:26:12.474594+00:00
40298024,64015000,3,cc-by-nc,"(c) docprt, some rights reserved (CC BY-NC)",https://inaturalist-open-data.s3.amazonaws.com/photos/64015000/square.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/64015000/original.jpg,2048,1365,2026-09-13T02:26:12.474594+00:00
40303137,64023606,0,cc-by-nc,"(c) docprt, some rights reserved (CC BY-NC)",https://inaturalist-open-data.s3.amazonaws.com/photos/64023606/square.jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/64023606/original.jpeg,2048,1384,2026-09-13T02:26:12.474594+00:00
40303137,64023612,1,cc-by-nc,"(c) docprt, some rights reserved (CC BY-NC)",https://inaturalist-open-data.s3.amazonaws.com/photos/64023612/square.jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/64023612/original.jpeg,2048,1187,2026-09-13T02:26:12.474594+00:00
40303137,64023618,2,cc-by-nc,"(c) docprt, some rights reserved (CC BY-NC)",https://inaturalist-open-data.s3.amazonaws.com/photos/64023618/square.jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/64023618/original.jpeg,2048,1231,2026-09-13T02:26:12.474594+00:00
40303137,64023621,3,cc-by-nc,"(c) docprt, some rights reserved (CC BY-NC)",https://inaturalist-open-data.s3.amazonaws.com/photos/64023621/square.jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/64023621/original.jpeg,2048,1372,2026-09-13T02:26:12.474594+00:00
40303137,64023626,4,cc-by-nc,"(c) docprt, some rights reserved (CC BY-NC)",https://inaturalist-open-data.s3.amazonaws.com/photos/64023626/square.jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/64023626/original.jpeg,2048,1732,2026-09-13T02:26:12.474594+00:00
40399745,64148775,0,cc-by-nc,"(c) jd3w, some rights reserved (CC BY-NC)",https://inaturalist-open-data.s3.amazonaws.com/photos/64148775/square.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/64148775/original.jpg,1080,1024,2026-09-13T02:26:12.474594+00:00
40594293,64339685,0,cc-by-nc,"(c) Tom Murray, some rights reserved (CC BY-NC)",https://inaturalist-open-data.s3.amazonaws.com/photos/64339685/square.jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/64339685/original.jpeg,1290,840,2026-09-13T02:26:12.474594+00:00
40594293,64339734,1,cc-by-nc,"(c) Tom Murray, some rights reserved (CC BY-NC)",https://inaturalist-open-data.s3.amazonaws.com/photos/64339734/square.jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/64339734/original.jpeg,990,720,2026-09-13T02:26:12.474594+00:00
40594293,64339748,2,cc-by-nc,"(c) Tom Murray, some rights reserved (CC BY-NC)",https://inaturalist-open-data.s3.amazonaws.com/photos/64339748/square.jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/64339748/original.jpeg,990,720,2026-09-13T02:26:12.474594+00:00
40594293,64340028,3,cc-by-nc,"(c) Tom Murray, some rights reserved (CC BY-NC)",https://inaturalist-open-data.s3.amazonaws.com/photos/64340028/square.jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/64340028/original.jpeg,1200,810,2026-09-13T02:26:12.474594+00:00
40715395,64543566,0,,"(c) Will Sweet, all rights reserved",https://static.inaturalist.org/photos/64543566/square.jpg,https://static.inaturalist.org/photos/64543566/original.jpg,2048,1418,2026-09-13T02:26:12.474594+00:00
40846037,64753533,0,,"(c) Mauricio Gabriel Herrera Madrid, all rights reserved",https://static.inaturalist.org/photos/64753533/square.jpeg,https://static.inaturalist.org/photos/64753533/original.jpeg,2048,1151,2026-09-13T02:26:12.474594+00:00
40846037,64753543,1,,"(c) Mauricio Gabriel Herrera Madrid, all rights reserved",https://static.inaturalist.org/photos/64753543/square.jpeg,https://static.inaturalist.org/photos/64753543/original.jpeg,2048,1151,2026-09-13T02:26:12.474594+00:00
