id,whole_body_count,whole_body_max_score,throat_count,throat_max_score,throat_portrait_count,throat_portrait_max_score,detections_json,is_target_region
10698850174,2,0.787575364112854,2,0.3636157512664795,0,,"[{""class_id"":0,""class_name"":""whole_body"",""confidence"":0.787575364112854,""bbox_xyxy"":[1595.9957275390625,888.9719848632812,3693.588134765625,2201.870361328125]},{""class_id"":0,""class_name"":""whole_body"",""confidence"":0.49232983589172363,""bbox_xyxy"":[1592.9072265625,882.276611328125,3690.50341796875,2197.8935546875]},{""class_id"":1,""class_name"":""throat"",""confidence"":0.3636157512664795,""bbox_xyxy"":[1983.369873046875,1500.434326171875,2589.33154296875,1961.8499755859375]},{""class_id"":1,""class_name"":""throat"",""confidence"":0.03251795843243599,""bbox_xyxy"":[2000.097900390625,1454.629150390625,2616.808837890625,1956.7452392578125]}]",0
10698868853,1,0.9326139688491821,2,0.831631600856781,2,0.2219756692647934,"[{""class_id"":0,""class_name"":""whole_body"",""confidence"":0.9326139688491821,""bbox_xyxy"":[2120.05078125,987.0804443359375,4467.4404296875,2792.632568359375]},{""class_id"":1,""class_name"":""throat"",""confidence"":0.831631600856781,""bbox_xyxy"":[2402.113525390625,1509.58349609375,3087.35498046875,2446.6083984375]},{""class_id"":2,""class_name"":""throat_portrait"",""confidence"":0.2219756692647934,""bbox_xyxy"":[2402.35693359375,1513.56591796875,3084.696533203125,2436.567138671875]},{""class_id"":1,""class_name"":""throat"",""confidence"":0.14686287939548492,""bbox_xyxy"":[2401.509033203125,1513.7449951171875,3088.97314453125,2438.947021484375]},{""class_id"":2,""class_name"":""throat_portrait"",""confidence"":0.0992119312286377,""bbox_xyxy"":[2403.632080078125,1512.626953125,3084.016845703125,2420.545654296875]}]",0
10698892923,1,0.9047259092330933,1,0.9154912829399109,1,0.8642228841781616,"[{""class_id"":1,""class_name"":""throat"",""confidence"":0.9154912829399109,""bbox_xyxy"":[2535.93896484375,1589.2589111328125,3231.921142578125,2404.551513671875]},{""class_id"":0,""class_name"":""whole_body"",""confidence"":0.9047259092330933,""bbox_xyxy"":[2271.682861328125,1009.0473022460938,4581.74658203125,2807.772705078125]},{""class_id"":2,""class_name"":""throat_portrait"",""confidence"":0.8642228841781616,""bbox_xyxy"":[2544.54736328125,1583.472900390625,3222.637451171875,2397.80712890625]}]",0
10698935893,1,0.936894416809082,1,0.9117000699043274,1,0.7333030104637146,"[{""class_id"":0,""class_name"":""whole_body"",""confidence"":0.936894416809082,""bbox_xyxy"":[2099.598388671875,875.4302368164062,4446.546875,2612.89013671875]},{""class_id"":1,""class_name"":""throat"",""confidence"":0.9117000699043274,""bbox_xyxy"":[2371.667724609375,1467.48828125,3078.383544921875,2267.2529296875]},{""class_id"":2,""class_name"":""throat_portrait"",""confidence"":0.7333030104637146,""bbox_xyxy"":[2372.70751953125,1464.738525390625,3066.979248046875,2261.256103515625]}]",0
10699138163,1,0.017993219196796417,1,0.05866117402911186,0,,"[{""class_id"":1,""class_name"":""throat"",""confidence"":0.05866117402911186,""bbox_xyxy"":[2851.552978515625,1717.0775146484375,3307.760986328125,2137.132080078125]},{""class_id"":0,""class_name"":""whole_body"",""confidence"":0.017993219196796417,""bbox_xyxy"":[4.647536277770996,310.08935546875,408.31988525390625,2641.607421875]}]",0
10776551596,0,,1,0.42824530601501465,0,,"[{""class_id"":1,""class_name"":""throat"",""confidence"":0.42824530601501465,""bbox_xyxy"":[325.0943298339844,631.3859252929688,700.3353271484375,1168.722900390625]}]",0
10776626724,0,,0,,0,,[],0
10776790803,0,,0,,0,,[],0
10811244103,1,0.5568898320198059,1,0.055082421749830246,0,,"[{""class_id"":0,""class_name"":""whole_body"",""confidence"":0.5568898320198059,""bbox_xyxy"":[0.0,75.0588150024414,925.9393920898438,656.51025390625]},{""class_id"":1,""class_name"":""throat"",""confidence"":0.055082421749830246,""bbox_xyxy"":[696.7921142578125,420.1786193847656,827.3583374023438,511.0140686035156]}]",0
10966826415,2,0.34933459758758545,2,0.014110309071838856,0,,"[{""class_id"":0,""class_name"":""whole_body"",""confidence"":0.34933459758758545,""bbox_xyxy"":[775.856689453125,8.679810523986816,5445.826171875,3648.0]},{""class_id"":0,""class_name"":""whole_body"",""confidence"":0.017652979120612144,""bbox_xyxy"":[3063.26904296875,0.0,5464.1396484375,3552.733154296875]},{""class_id"":1,""class_name"":""throat"",""confidence"":0.014110309071838856,""bbox_xyxy"":[2448.26806640625,1738.4593505859375,3184.635498046875,2860.6044921875]},{""class_id"":1,""class_name"":""throat"",""confidence"":0.010915185324847698,""bbox_xyxy"":[1970.51513671875,1689.6435546875,3182.022216796875,3493.74609375]}]",0
