id,title,page_url,image_url,full_image_url,license,license_url,author,timestamp,width,height,size,mime,description,latitude,longitude,location_clue,resolved_location_name
115281261,File:FightingOtter03.jpg,https://commons.wikimedia.org/wiki/File:FightingOtter03.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0f/FightingOtter03.jpg/1280px-FightingOtter03.jpg,https://upload.wikimedia.org/wikipedia/commons/0/0f/FightingOtter03.jpg,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,BluesyPete,2022-02-15T17:08:49Z,1945,1405,2648462,image/jpeg,Loutre repoussant un crocodile au Pantanal - Brésil.,-16.399674,-56.627290,Pantanal,"Pantanal, Brazil"
115281271,File:FightingOtter04.jpg,https://commons.wikimedia.org/wiki/File:FightingOtter04.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/d/df/FightingOtter04.jpg/1280px-FightingOtter04.jpg,https://upload.wikimedia.org/wikipedia/commons/d/df/FightingOtter04.jpg,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,BluesyPete,2022-02-15T17:08:53Z,3072,2048,3620223,image/jpeg,Loutre repoussant un crocodile au Pantanal - Brésil.,-16.399674,-56.627290,Pantanal,"Pantanal, Brazil"
115281270,File:FightingOtter05.jpg,https://commons.wikimedia.org/wiki/File:FightingOtter05.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/FightingOtter05.jpg/1280px-FightingOtter05.jpg,https://upload.wikimedia.org/wikipedia/commons/8/8a/FightingOtter05.jpg,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,BluesyPete,2022-02-15T17:08:53Z,3072,2048,3410160,image/jpeg,Loutre repoussant un crocodile au Pantanal - Brésil.,-16.399674,-56.627290,Pantanal,"Pantanal, Brazil"
22440872,File:Flickr - ggallice - Giant otter (2).jpg,https://commons.wikimedia.org/wiki/File:Flickr_-_ggallice_-_Giant_otter_(2).jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fd/Flickr_-_ggallice_-_Giant_otter_%282%29.jpg/1280px-Flickr_-_ggallice_-_Giant_otter_%282%29.jpg,https://upload.wikimedia.org/wikipedia/commons/f/fd/Flickr_-_ggallice_-_Giant_otter_%282%29.jpg,CC BY 2.0,https://creativecommons.org/licenses/by/2.0,"Geoff Gallice from Gainesville, FL, USA",2012-10-28T22:18:30Z,4596,2298,410310,image/jpeg,"Mustelidae: Pteronura brasiliensis Laguna Cocococha, Reserva Nacional Tambopata, Madre de Dios, Peru",-12.817325,-69.261245,Madre De Dios,"Madre de Dios, Peru"
50931387,File:Giant Otter (Pteronura brasiliensis) (28929231040).jpg,https://commons.wikimedia.org/wiki/File:Giant_Otter_(Pteronura_brasiliensis)_(28929231040).jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1d/Giant_Otter_%28Pteronura_brasiliensis%29_%2828929231040%29.jpg/1280px-Giant_Otter_%28Pteronura_brasiliensis%29_%2828929231040%29.jpg,https://upload.wikimedia.org/wikipedia/commons/1/1d/Giant_Otter_%28Pteronura_brasiliensis%29_%2828929231040%29.jpg,CC BY-SA 2.0,https://creativecommons.org/licenses/by-sa/2.0,Bernard DUPONT from FRANCE,2016-08-28T05:17:03Z,5472,3648,11890950,image/jpeg,"Rio São Lourenço, Porto Jofre, Pantanal, Poconé, Mato Grosso, BRAZIL",-17.264041,-56.668413,Mato Grosso,"Mato Grosso, Brazil"
50931375,File:Giant Otter (Pteronura brasiliensis) eating a Vermiculated Sailfin Catfish (Pterygoplichthys disjunctivus) (28597043744).jpg,https://commons.wikimedia.org/wiki/File:Giant_Otter_(Pteronura_brasiliensis)_eating_a_Vermiculated_Sailfin_Catfish_(Pterygoplichthys_disjunctivus)_(28597043744).jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/4/46/Giant_Otter_%28Pteronura_brasiliensis%29_eating_a_Vermiculated_Sailfin_Catfish_%28Pterygoplichthys_disjunctivus%29_%2828597043744%29.jpg/1280px-Giant_Otter_%28Pteronura_brasiliensis%29_eating_a_Vermiculated_Sailfin_Catfish_%28Pterygoplichthys_disjunctivus%29_%2828597043744%29.jpg,https://upload.wikimedia.org/wikipedia/commons/4/46/Giant_Otter_%28Pteronura_brasiliensis%29_eating_a_Vermiculated_Sailfin_Catfish_%28Pterygoplichthys_disjunctivus%29_%2828597043744%29.jpg,CC BY-SA 2.0,https://creativecommons.org/licenses/by-sa/2.0,Bernard DUPONT from FRANCE,2016-08-28T05:16:42Z,5472,3648,14497846,image/jpeg,"Rio São Lourenço, Porto Jofre, Pantanal, Poconé, Mato Grosso, BRAZIL",-17.264041,-56.668413,Mato Grosso,"Mato Grosso, Brazil"
50429013,File:Giant Otter (Pteronura brasiliensis) eating some fish ... (28579196542).jpg,https://commons.wikimedia.org/wiki/File:Giant_Otter_(Pteronura_brasiliensis)_eating_some_fish_..._(28579196542).jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7f/Giant_Otter_%28Pteronura_brasiliensis%29_eating_some_fish_..._%2828579196542%29.jpg/1280px-Giant_Otter_%28Pteronura_brasiliensis%29_eating_some_fish_..._%2828579196542%29.jpg,https://upload.wikimedia.org/wikipedia/commons/7/7f/Giant_Otter_%28Pteronura_brasiliensis%29_eating_some_fish_..._%2828579196542%29.jpg,CC BY-SA 2.0,https://creativecommons.org/licenses/by-sa/2.0,Bernard DUPONT from FRANCE,2016-08-01T03:44:17Z,4384,3162,7223075,image/jpeg,"Giant otter at Piquiri River, Porto Jofre area, Pantanal, Poconé, Mato Grosso, Brazil.",,,Mato Grosso,"Mato Grosso, Brazil"
49980082,File:Giant Otter (Pteronura brasiliensis) resting in the sun ... - Flickr - berniedup.jpg,https://commons.wikimedia.org/wiki/File:Giant_Otter_(Pteronura_brasiliensis)_resting_in_the_sun_..._-_Flickr_-_berniedup.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/6/60/Giant_Otter_%28Pteronura_brasiliensis%29_resting_in_the_sun_..._-_Flickr_-_berniedup.jpg/1280px-Giant_Otter_%28Pteronura_brasiliensis%29_resting_in_the_sun_..._-_Flickr_-_berniedup.jpg,https://upload.wikimedia.org/wikipedia/commons/6/60/Giant_Otter_%28Pteronura_brasiliensis%29_resting_in_the_sun_..._-_Flickr_-_berniedup.jpg,CC BY-SA 2.0,https://creativecommons.org/licenses/by-sa/2.0,Bernard DUPONT from FRANCE,2016-07-07T15:31:09Z,4182,2724,6352840,image/jpeg,"Cuiabá River, Porto Jofre, Poconé, Mato Grosso, BRAZIL",,,Mato Grosso,"Mato Grosso, Brazil"
14620104,File:Giant Otter Anjo.JPG,https://commons.wikimedia.org/wiki/File:Giant_Otter_Anjo.JPG,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a2/Giant_Otter_Anjo.JPG/1280px-Giant_Otter_Anjo.JPG,https://upload.wikimedia.org/wikipedia/commons/a/a2/Giant_Otter_Anjo.JPG,Attribution,,www.Araguaia.org,2011-03-16T13:45:29Z,3962,2476,3086863,image/jpeg,"The giant otter (Pteronura brasiliensis) known as ""Anjo"", one of a group of fourteen wild otters residing at Lago Grande, in Cantão State Park, in the Araguaia wetlands of central Brazil. This picture was taken by researchers from the Instituto Araguaia, which has been studying this particular group of otters in Cantão since 2010. The individuals are identified by the pattern of white marks on their throat, which the otters themselves use to recognize each other - hence their habit of displaying their throats whenever they meet a stranger, as the animal in the picture is doing.",,,Cantão,"Parque Estadual do Cantão, Tocantins, Brazil"
12181206,File:Giant Otter area.png,https://commons.wikimedia.org/wiki/File:Giant_Otter_area.png,https://upload.wikimedia.org/wikipedia/commons/0/09/Giant_Otter_area.png,https://upload.wikimedia.org/wikipedia/commons/0/09/Giant_Otter_area.png,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,Chermundy,2010-11-29T23:27:53Z,212,319,8361,image/png,Giant Otter ( Pteronura brasiliensis ) range,,,,
