source,encounter_id,photo_id,image_path,image_url,page_url,observed_at,observer,latitude,longitude,location_source,locality,license,quality_grade
inat,inat_183434745,320025640,data/sources/inat/images/183434745/320025640.jpg,https://static.inaturalist.org/photos/320025640/original.jpg,https://www.inaturalist.org/observations/183434745,2023-08-23T04:16:00-04:00,Henry Fabian,-17.2855365601,-56.6214255417,inat,"Mato Grosso, BR",cc0,research
inat,inat_183434745,320025672,data/sources/inat/images/183434745/320025672.jpg,https://static.inaturalist.org/photos/320025672/original.jpg,https://www.inaturalist.org/observations/183434745,2023-08-23T04:16:00-04:00,Henry Fabian,-17.2855365601,-56.6214255417,inat,"Mato Grosso, BR",cc0,research
inat,inat_183434745,320025710,data/sources/inat/images/183434745/320025710.jpg,https://static.inaturalist.org/photos/320025710/original.jpg,https://www.inaturalist.org/observations/183434745,2023-08-23T04:16:00-04:00,Henry Fabian,-17.2855365601,-56.6214255417,inat,"Mato Grosso, BR",cc0,research
inat,inat_183434745,320025743,data/sources/inat/images/183434745/320025743.jpg,https://static.inaturalist.org/photos/320025743/original.jpg,https://www.inaturalist.org/observations/183434745,2023-08-23T04:16:00-04:00,Henry Fabian,-17.2855365601,-56.6214255417,inat,"Mato Grosso, BR",cc0,research
inat,inat_183434745,320025767,data/sources/inat/images/183434745/320025767.jpg,https://static.inaturalist.org/photos/320025767/original.jpg,https://www.inaturalist.org/observations/183434745,2023-08-23T04:16:00-04:00,Henry Fabian,-17.2855365601,-56.6214255417,inat,"Mato Grosso, BR",cc0,research
inat,inat_183439826,320036102,data/sources/inat/images/183439826/320036102.jpg,https://static.inaturalist.org/photos/320036102/original.jpg,https://www.inaturalist.org/observations/183439826,2023-08-23T07:41:00-04:00,Henry Fabian,-17.31049945,-56.717646497,inat,Brazil,cc0,research
inat,inat_183439826,320036281,data/sources/inat/images/183439826/320036281.jpg,https://static.inaturalist.org/photos/320036281/original.jpg,https://www.inaturalist.org/observations/183439826,2023-08-23T07:41:00-04:00,Henry Fabian,-17.31049945,-56.717646497,inat,Brazil,cc0,research
inat,inat_183439826,320036322,data/sources/inat/images/183439826/320036322.jpg,https://static.inaturalist.org/photos/320036322/original.jpg,https://www.inaturalist.org/observations/183439826,2023-08-23T07:41:00-04:00,Henry Fabian,-17.31049945,-56.717646497,inat,Brazil,cc0,research
inat,inat_183439826,320036366,data/sources/inat/images/183439826/320036366.jpg,https://static.inaturalist.org/photos/320036366/original.jpg,https://www.inaturalist.org/observations/183439826,2023-08-23T07:41:00-04:00,Henry Fabian,-17.31049945,-56.717646497,inat,Brazil,cc0,research
inat,inat_183439826,320036461,data/sources/inat/images/183439826/320036461.jpg,https://static.inaturalist.org/photos/320036461/original.jpg,https://www.inaturalist.org/observations/183439826,2023-08-23T07:41:00-04:00,Henry Fabian,-17.31049945,-56.717646497,inat,Brazil,cc0,research
inat,inat_183441770,320040357,data/sources/inat/images/183441770/320040357.jpg,https://static.inaturalist.org/photos/320040357/original.jpg,https://www.inaturalist.org/observations/183441770,2023-08-23T12:54:00-04:00,Henry Fabian,-17.206915479,-56.6502245654,inat,"Mato Grosso, BR",cc0,research
inat,inat_183442007,320040749,data/sources/inat/images/183442007/320040749.jpeg,https://static.inaturalist.org/photos/320040749/original.jpeg,https://www.inaturalist.org/observations/183442007,2023-08-23T12:58:00-04:00,Henry Fabian,-17.2310343271,-56.7849627587,inat,Brazil,cc0,research
inat,inat_183615239,320356361,data/sources/inat/images/183615239/320356361.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/320356361/original.jpg,https://www.inaturalist.org/observations/183615239,2022-02-21T09:37:00-05:00,hannah_goesoutside,-0.4957652585,-76.5816543637,inat,Ecuador,cc-by-nc,research
inat,inat_183725086,320576230,data/sources/inat/images/183725086/320576230.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/320576230/original.jpg,https://www.inaturalist.org/observations/183725086,2015-10-09T14:00:00-04:00,photokeen,-17.3564153861,-56.4050083663,inat,Brazil,cc-by-nc-nd,research
inat,inat_183836204,320786705,data/sources/inat/images/183836204/320786705.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/320786705/original.jpg,https://www.inaturalist.org/observations/183836204,2016-02-01,GabrielRodríguezOvalle,6.1672404842,-67.5115978099,inat,Colombia,cc-by-nc,research
inat,inat_183933514,320980331,data/sources/inat/images/183933514/320980331.jpeg,https://static.inaturalist.org/photos/320980331/original.jpeg,https://www.inaturalist.org/observations/183933514,,Titouan Bcs,5.174183509,-53.0002290947,inat,"Cayenne, GF",,casual
inat,inat_184066244,321237112,data/sources/inat/images/184066244/321237112.jpeg,https://static.inaturalist.org/photos/321237112/original.jpeg,https://www.inaturalist.org/observations/184066244,2016-07-20T22:00:55-05:00,Fortunato rayan perez,-11.9998834406,-71.4716223992,inat,"Manu, PE-MD-MU, PE-MD, PE",,research
